EmployeeID,Name,Department,Salary
4888,Chad Stone,Acct. Clerk,420800
1598,Paul Venable,Workforce Anlst.,214993
2520,Victoria Jones,Tax Prep. Spec.,346450
4981,Silva Mccaffrey,Budget Anlst.,53944
415,Marsha Hudson,Records Clerk,469950
8398,Kelly Jackson,Proc. Asst.,299948
3471,Bertha Macias,Mail Clerk,484572
7945,Perry Ortiz,Forensic Acct. Asst.,283494
1908,Curtis Stanford,Assoc.,385748
9567,Marcus Wylie,Coord.,460060
3729,Dwayne Mcenaney,Bookkeeper,131666
6789,Lorena Bird,Inv. Anlst. Asst.,284612
5524,Sarah Reed,People Ops Gen.,448432
8845,Juan Baker,Gen. Asst.,486407
2078,Armando Klein,Payroll Acct.,54211
7326,Ellen Yost,Office Coord.,147543
1538,Carol Gordo,Jr. Benefits Spec.,398140
5481,Marilyn Campbell,Comp. Anlst.,296644
1722,Colleen Cahill,Acct. Clerk,428541
8431,Cindy Varley,Comp. Anlst.,81715
6874,Sylvia Hansford,AR Clerk,64007
5850,Kecia Carrabine,Coord.,222634
7937,Effie Crossmon,Coord.,388401
8613,Joann Hawthorne,AR Clerk,343554
4656,Helen Terrell,Tax Prep. Spec.,305284
1605,William Johns,AR Clerk,140114
7276,Jane Pittman,Apprentice,72039
7129,Arthur Wright,Tax Prep. Spec.,175411
7685,Gus Ramos,Support Staff,373004
4465,Christopher Poarch,Acct. Clerk,457819
8925,Diane Eaves,Sr. Acct.,498722
8418,Edward Brewer,Coord.,268494
9363,Glenna Lowe,HRBP Asst.,398339
7437,Richard Brown,Trainee,119406
9622,Benton Loera,File Clerk,266210
6889,James Moreno,Sr. Acct.,431362
1099,Timothy Barnhart,Jr. Coord.,194160
5441,Carlo Lawson,Tax Prep. Spec.,112390
7005,Joshua Collier,Payroll Spec.,165583
5259,Alice Coley,Coord.,308814
290,Vesta Lovelady,Jr. Auditor,335548
2337,Gary Riseden,Tax Prep. Spec.,210822
999,Andrew Linton,L&D Spec.,403785
8025,Harry Pelletier,Apprentice,447044
9877,Eloise Flemming,HRBP Asst.,334325
1408,Betty Leatham,Trainee,494037
1591,Bobby Hall,HR Coord.,493686
6121,Richard Walker,Support Staff,338733
9169,Karen Gordon,Tax Prep. Spec.,433144
5303,Rickey Lippert,T&D Coord.,141763
9962,Susie Hanson,Bookkeeper,292420
7565,James Garbe,L&D Spec.,422001
7855,Carl Kaufman,Talent Mgr. Asst.,95035
6113,Carroll Bickford,Jr. Assoc.,447574
6512,Doris Christian,Org. Dev. Asst.,118371
678,Betty Dunning,AP Spec.,54017
471,Fannie Gomez,Proc. Asst.,190669
9777,Omar Fresh,Admin. Tech.,333332
1092,Barbara Casey,Risk Anlst.,116440
2827,Bradley Herbert,Treasury Anlst.,426501
8650,Susie Pulido,Office Coord.,331848
991,Martin Morgan,Jr. Assoc.,165476
5273,Melody Brown,Talent Acq. Spec.,168031
6206,Nicole Holt,Data Entry Spec.,201523
4367,Marty Rogers,AP Spec.,55036
8981,Clyde Nielsen,Forensic Acct. Asst.,80973
1814,Mary White,Int. (Intern),462388
5398,Norman Estes,Compliance Anlst.,336656
5720,Lea Hammack,Data Entry Spec.,441380
3859,Benjamin Leavitt,Payroll Spec.,371700
7405,Oscar Price,File Clerk,66734
7786,Roberto Bishop,Proc. Asst.,274276
7782,Judy Sardin,Gen. Asst.,121965
5623,Kevin Severson,L&D Spec.,79565
6614,Aaron Williams,Office Coord.,444635
2318,Elvira Meservey,HRIS Admin.,252618
9281,Thomas Waring,Recruiter,200050
9789,Roberta Henderson,T&D Coord.,408852
6423,John Patrick,Budget Anlst.,237557
849,Robert Baker,Org. Dev. Asst.,240898
4179,James Whitesides,Bookkeeper,64124
6149,Margaret Birkey,Credit Anlst.,306679
7660,Rene Smith,Records Clerk,456105
4113,Brian Allums,Data Entry Spec.,160751
2482,Pauline Cusson,Acct. Clerk,75744
7387,Jon Berger,Bookkeeper,184710
9499,Brian Sharp,Credit Anlst.,359388
9490,Richard Alexander,Fin. Anlst.,157524
7769,Nora Little,Support Staff,447796
8181,Roseanna Johnson,Fin. Assoc.,90080
2865,William Nelson,Int. (Intern),191040
3538,Craig Dewald,Office Mgr.,255229
9472,Leann Sinclair,Forensic Acct. Asst.,66444
4370,Emery Johnson,AR Clerk,465212
7551,Brandon Powell,Jr. Fin. Anlst.,84248
1371,Silvia Jones,File Clerk,415436
5839,Barbara Vosburg,Jr. Coord.,172746
6334,Mary White,Int. (Intern),94817
8733,Elva Shepherd,Acct. Asst.,385009
4782,Edwin Souffrant,Acct. Asst.,325373
5130,Harold Brinker,Office Mgr.,401892
6895,Terry Johnson,Support Staff,392195
4502,Van Morris,Gen. Asst.,429259
8548,Ella Miller,Jr. Fin. Anlst.,268956
7408,Catherine Babineaux,Sr. Acct.,148449
5872,Ivan Trevino,Off. Staff,141401
7067,Michael Jimenez,People Ops Gen.,213479
2244,Annette Janousek,Comp. Anlst.,349474
5332,Lavette Thomas,Talent Acq. Spec.,247265
4397,Louis Weller,Tax Acct.,413527
5790,Kenneth Caporiccio,Inv. Anlst. Asst.,444688
1452,Rosita Brewster,HR Cons. Asst.,150732
4046,Paula Shani,Acct. Asst.,338124
5083,Louise Calhoun,Jr. Recruiter,343516
9786,Kenneth Dronet,HR Asst.,70251
852,Shannon Robinson,Talent Acq. Spec.,368624
9856,Sarah Jones,Bookkeeper,91026
2677,George Flemmons,Fin. Reporting Spec.,463339
4104,Brenda Wilkerson,Records Clerk,199602
5581,Marietta Garcia,Apprentice,172642
3860,Richard Dingle,Jr. Recruiter,472014
8782,Georgia Stamm,Bookkeeper,69326
6319,Edward Moore,Compliance Anlst.,112414
836,Dinah Taylor,Jr. Recruiter,63924
6297,William Oroark,Admin. Tech.,337764
7294,Kimberly Shuman,Payroll Acct.,476641
2571,Christopher Hunt,Support Staff,96049
3406,Dennis Santiago,Asst. (Admin),64733
996,Kimberly Saunders,Admin. Tech.,256145
1391,Michael Gowers,Forensic Acct. Asst.,422122
6588,Karen Duncan,Bookkeeper,262073
9114,Mary Limberg,Credit Anlst.,426037
6989,Dorothy Rangel,Payroll Acct.,303060
4658,Anthony Gibson,Compliance Anlst.,159939
5526,Lupita Rodriguez,Jr. Recruiter,429574
3261,Cynthia Young,Inv. Anlst. Asst.,421219
62,Robert Knapp,Mail Clerk,352249
8303,Chong Washington,Risk Anlst.,242035
4924,Donald Mcdonald,Jr. Auditor,195650
3649,Peggy Mustard,Proc. Asst.,155888
7901,Gwendolyn Mortimer,Fin. Assoc.,311946
9026,Courtney Ayala,Compliance Anlst.,165276
1942,Clara Johnson,HR Asst.,114832
7666,Eric Walker,HR Coord.,330672
3077,Laura Wainer,Trainee,78281
5962,Amy Jones,Billing Spec.,424791
9687,Chad Miles,Data Entry Spec.,103416
3221,Lisa Cockrill,AP Spec.,301031
2626,Mary Brahler,Mail Clerk,125564
6870,Michael Johnson,Int. (Intern),496449
1789,Amy Bird,Comp. Anlst.,446413
89,Leah Pena,People Ops Gen.,66328
4017,Doyle Bonelli,Compliance Anlst.,279225
3328,Cody Gordon,AR Clerk,274995
7066,Nancy Hogan,Comp. Anlst.,230338
7969,Helen Becker,Compliance Anlst.,182439
5114,Maria Johnson,Mail Clerk,334109
376,Steven Coleman,Apprentice,131724
3489,William Rock,Tax Prep. Spec.,226773
6736,Marie Kaelin,Payroll Acct.,305096
8897,Robert Williams,Asst. (Admin),171752
8250,Raymond Reth,Jr. Fin. Anlst.,408581
5299,Wilton Haywood,Jr. Coord.,218819
7417,Sallie West,Org. Dev. Asst.,111774
2391,Maribel Roberts,Payroll Acct.,236383
3095,Allison Guajardo,Jr. Assoc.,100495
8180,Kevin King,Receptionist,279579
2273,Danna Koslow,HRIS Admin.,392253
3359,Darlene Walsh,Jr. Assoc.,101504
9384,Eunice Kendall,Admin. Tech.,331947
1360,Robert Hudson,Inv. Anlst. Asst.,186402
1796,Gary Williams,Tax Prep. Spec.,393362
504,John Jeans,Talent Mgr. Asst.,319941
516,Heather Maeder,Jr. Compliance Off.,373573
8608,Jesse Brake,Admin. Tech.,183579
3196,Teresa Mclamb,Talent Mgr. Asst.,149545
1017,Amy Aceves,Bookkeeper,384097
4184,Rene Chavis,Assoc.,308767
5427,Catherine Statler,Office Mgr.,376673
2674,Heather Parisi,Budget Anlst.,242116
1426,Gloria Fields,Support Staff,481191
222,Fred Casson,Recruiter,213431
4503,Tim Bragg,Assoc.,470148
5053,Michael Gardella,Gen. Asst.,158803
552,Dillon Benigni,HR Cons. Asst.,140242
944,Ernest Manning,Talent Acq. Spec.,450174
5051,Paul Wilkerson,Jr. Acct.,475545
8323,Michael Fulton,Jr. Benefits Spec.,300350
5014,Kenneth Krizan,Fin. Assoc.,417284
8675,Lou Moore,Proc. Asst.,87231
6868,Francisco Schrenk,Receptionist,267929
7384,Kimberly Laroche,Sr. Acct.,476024
8664,Jeffery Deakins,Comp. Anlst.,281091
6224,Stanley Gomez,Int. Auditor Asst.,121151
8634,Ernest Rangnow,Jr. Fin. Anlst.,179451
2280,Frederick Wills,Apprentice,119485
2691,Catherine Beirne,HR Cons. Asst.,54611
2760,Nicole Gibbs,Budget Anlst.,52720
2347,Terry Pickle,Tax Prep. Spec.,446314
7003,Andrew Sloss,Records Clerk,198458
1368,Crystal Perrotti,Jr. Compliance Off.,347683
1501,Diane Rodriguez,Trainee,493308
4233,Jesse Cotton,Talent Acq. Spec.,158910
9779,Daniel Vela,HR Cons. Asst.,66066
4479,Joyce Carlson,Int. (Intern),111579
4568,Karen Webb,Talent Acq. Spec.,117295
5242,David Finley,Proc. Asst.,187140
333,Rory Otting,Off. Staff,163536
3988,Wyatt Huff,HR Gen.,324077
7278,David Turnipseed,Workforce Anlst.,187505
2370,Eunice Patterson,Assoc.,358907
9552,James Haney,AP Spec.,114561
7383,Roy Holdman,Asst. (Admin),467719
1521,Rita Brown,Receptionist,116092
