EmployeeID,Name,Department,Salary
9999,Jason Childs,Forensic Acct. Asst.,221431
9998,Mary Devins,Treasury Anlst.,173360
9997,Patrice Sorenson,Admin. Tech.,376400
9996,Herbert Fountain,L&D Spec.,408554
9995,Robin Harris,HRIS Admin.,466111
9994,Sylvia Jackson,HRBP Asst.,325121
9993,Mark Hewlett,T&D Coord.,118799
9992,Laverne Bryan,AR Clerk,157610
9991,Amanda Kinney,File Clerk,421452
9990,Misty Rodriguez,HR Gen.,51185
9989,Brandon Scott,Data Entry Spec.,137089
9988,Billie Lowman,Jr. Assoc.,408614
9987,Shenika Babineaux,AR Clerk,114986
9986,Roy Gonzales,HR Cons. Asst.,105890
9985,Ethel Rick,T&D Coord.,312584
9984,Christopher Tauras,Office Mgr.,496617
9983,Donna Thompson,Recpt.,139859
9982,Sherrie Seaton,HR Cons. Asst.,344415
9981,Michael Jenkins,Admin. Tech.,428364
9980,Nancy Barnard,Recruiter,170203
9979,Helen Schubert,Asst. (Admin),379685
9978,Thomas Beall,Off. Staff,199665
9977,Barbara Smith,Bookkeeper,81823
9976,George Granillo,Off. Staff,146597
9975,Lloyd Taylor,Budget Anlst.,325140
9974,Alma Gegenheimer,Treasury Anlst.,195741
9973,Demetrius Messenger,T&D Coord.,478279
9972,Melissa Cline,Trainee,434829
9971,Leslie Dardis,Jr. Compliance Off.,245228
9970,Benjamin Briones,HR Gen.,137641
9969,Brenda Romo,Asst. (Admin),333521
9968,Tiffany Cox,Jr. Fin. Anlst.,186215
9967,Harold Miller,Jr. Benefits Spec.,53755
9966,John White,Payroll Spec.,314123
9965,Richard Harris,Risk Anlst.,78100
9964,Emanuel Estler,Int. Auditor Asst.,382715
9963,Steven Sclavi,Trainee,186268
9962,Thomas Fuller,Clerk,215241
9961,Carol Robinson,Office Mgr.,328000
9960,Roger Callaway,Org. Dev. Asst.,60340
9959,Alberto Johnson,Tax Acct.,279318
9958,Margarita Appleton,Mail Clerk,93190
9957,Derrick Becker,Compliance Anlst.,369497
9956,Moises Janssen,Recruiter,369376
9955,George Bennett,Jr. Coord.,158016
9954,Terry Raffa,HR Coord.,162336
9953,Robert Mcguire,Apprentice,391764
9952,Deborah Spears,HRIS Admin.,276921
9951,Stephen Rivera,Compliance Anlst.,62798
9950,Robert Corona,Sr. Acct.,303064
9949,Susan Hanson,Sr. Acct.,360579
9948,Kirby Segura,People Ops Gen.,482748
9947,Evelyn Rudnick,Gen. Asst.,247662
9946,Glenn Schilk,T&D Coord.,86488
9945,Brittany Motley,Jr. Assoc.,353910
9944,Christina Lopez,Off. Staff,62701
9943,Wendy Yang,Fin. Anlst.,225843
9942,Gregory Fuller,Jr. Acct.,103710
9941,Shawn Templeton,Risk Anlst.,188328
9940,Scott Davis,Mail Clerk,353027
9939,John Wolfenbarger,Admin. Tech.,320242
9938,Ann Woods,Acct. Clerk,103228
9937,Eddie Barnett,Asst. (Admin),98854
9936,Sheila Phagan,T&D Coord.,166117
9935,Stephanie Atchley,Budget Anlst.,213873
9934,Stanley Ketcham,Recruiter,122326
9933,Mary Mcmillen,Budget Anlst.,109616
9932,Milton Deike,Int. (Intern),489583
9931,David Harsh,Credit Anlst.,195962
9930,Andrea Robinson,Support Staff,71707
9929,Edith Hudkins,Office Coord.,426513
9928,Jesse Smith,L&D Spec.,112772
9927,Brandy Pack,Fin. Anlst.,325736
9926,Susan Richardson,Bookkeeper,231636
9925,Adam Scherer,HRIS Admin.,129497
9924,Rosemary Paulsen,Coord.,480099
9923,Ronnie Valenziano,Jr. Recruiter,330764
9922,Deborah Sawin,Int. Auditor Asst.,178827
9921,Chad Abell,Support Staff,282950
9920,James Laws,Budget Anlst.,294593
9919,George Willard,Compliance Anlst.,271677
9918,Michael Bustios,Payroll Spec.,277510
9917,David Patterson,Gen. Asst.,218806
9916,Mark Davis,Trainee,482735
9915,Jonathon Eberle,Apprentice,411627
9914,George Sipos,Forensic Acct. Asst.,59574
9913,Norman Clement,HRIS Admin.,446188
9912,Michael Madhavan,Int. (Intern),170173
9911,Raymond Cain,Fin. Reporting Spec.,68327
9910,Leonard Gramham,Jr. Fin. Anlst.,276311
9909,Mary Harwood,Jr. Coord.,242458
9908,Mark Smith,AP Spec.,76015
9907,Quintin Raymond,Treasury Anlst.,180367
9906,Linda Altro,Billing Spec.,188854
9905,Monica Groh,Asst. (Admin),432650
9904,Sam Traub,Tax Acct.,68622
9903,Bonnie Krieg,Acct. Asst.,383721
9902,Charlene Capel,HRIS Admin.,448160
9901,Wesley Soto,Tax Acct.,271493
9900,Elizabeth Rivers,Jr. Acct.,54321
9899,Thomas Mincks,HR Cons. Asst.,372148
9898,Gloria Stutts,Acct. Asst.,420205
9897,Becky Diaz,Coord.,339893
9896,Heidi Greenwood,Budget Anlst.,294680
9895,Lisa Cavazos,Payroll Spec.,246884
9894,Paula Crawford,People Ops Gen.,314577
9893,Cynthia Morrison,Jr. Fin. Anlst.,499044
9892,Cruz Camille,Jr. Recruiter,317598
9891,William Gonzalez,Jr. Compliance Off.,126274
9890,Laura Stair,Jr. Recruiter,242950
9889,Bradley Smith,Assoc.,85058
9888,Charles Hays,Comp. Anlst.,384023
9887,George Bloomgren,Recpt.,214352
