EmployeeID,Name,Department,Salary
0,Jennifer Cahill,Jr. Recruiter,494887
1,Johnathan Corrieri,Jr. Assoc.,79001
2,Juana Love,Org. Dev. Asst.,142166
3,Patricia Veil,Jr. Acct.,141476
4,Andy Wilson,Tax Acct.,463868
5,Brandon Little,HR Cons. Asst.,106549
6,Christopher Pilgrim,Asst. (Admin),140660
7,William Rivera,Fin. Assoc.,157296
8,Cheryl Cohen,Tax Acct.,416940
9,Connie Willis,Talent Acq. Spec.,64185
10,Betty Olson,Bookkeeper,388861
11,Daniel Bullard,Apprentice,168408
12,Doris Choate,Mail Clerk,247459
13,Louise Tucker,Jr. Assoc.,302388
14,Douglas Wilson,Gen. Asst.,484304
15,Edward Nunez,Fin. Assoc.,347712
16,Joan Fang,Gen. Asst.,352630
17,James Smith,Comp. Anlst.,281322
18,Hubert Benoit,L&D Spec.,170801
19,Vernice Wells,Inv. Anlst. Asst.,86124
20,Leigh Richardson,File Clerk,228767
21,Arthur Ellis,Int. Auditor Asst.,462515
22,William Cooper,Billing Spec.,273366
23,Marcelene Dossantos,Jr. Acct.,495433
24,Ellen George,People Ops Gen.,206239
25,Gonzalo Wood,People Ops Gen.,80826
26,Jesse Briggs,Talent Mgr. Asst.,292276
27,Tina Lawson,Coord.,124695
28,John Whitehurst,Budget Anlst.,152769
29,Kevin Pishko,Payroll Spec.,447336
30,David Beaty,Talent Acq. Spec.,431089
31,Rodney Manheim,Fin. Assoc.,210771
32,Carol Cross,Coord.,149943
33,Rose Paschal,Treasury Anlst.,250404
34,Donald Stevens,Bookkeeper,305068
35,Catherine Gauthier,Off. Staff,251900
36,Maria Womack,Coord.,393790
37,Kristen Jernigan,Billing Spec.,353308
38,Chris Marchman,Office Coord.,68955
39,John Losada,Acct. Clerk,91137
40,Paul Kutscher,Tax Acct.,219925
41,Maggie Warkentin,Mail Clerk,298818
42,Christopher Parsons,People Ops Gen.,93327
43,William Martinez,Assoc.,192458
44,Andrew Mcdaniel,Tax Acct.,216753
45,Gary Mendez,People Ops Gen.,381604
46,Jim Cameron,Records Clerk,377941
47,Rita Saner,Jr. Fin. Anlst.,254318
48,Bernetta Batey,HR Gen.,50335
49,Billy Girres,Inv. Anlst. Asst.,218541
50,Daniel Nethercutt,Recpt.,132236
51,Sandra Taylor,Jr. Benefits Spec.,106928
52,Deborah Tilley,Tax Prep. Spec.,77735
53,Karen Sklar,Recruiter,437446
54,Brian Fluellen,Jr. Coord.,493491
55,Ruth Allen,Acct. Clerk,481329
56,Stephanie Sanchez,HR Asst.,237182
57,Roland Marion,Jr. Benefits Spec.,371927
58,Bryan Graham,Jr. Benefits Spec.,305875
59,Kimberly Corbett,Acct. Asst.,463893
60,Kyle Heredia,Credit Anlst.,290090
61,Hector Holland,AR Clerk,234765
62,James Stephens,Fin. Reporting Spec.,255680
63,Daniel Cano,Bookkeeper,126569
64,Timothy Ingram,Jr. Fin. Anlst.,50176
65,Darlene Beran,Records Clerk,388458
66,Carol King,Jr. Compliance Off.,58569
67,Karen Fields,Org. Dev. Asst.,491319
68,Kenneth Roberts,Fin. Reporting Spec.,484063
69,Joseph Peterman,Records Clerk,344469
70,Margaret Vaughn,Inv. Anlst. Asst.,474058
71,Helen Miller,HR Gen.,382813
72,Janet Dube,HR Cons. Asst.,403765
73,Rosemary Hevey,Inv. Anlst. Asst.,103189
74,Bonnie Modesto,Talent Mgr. Asst.,300964
75,William Fewell,Tax Prep. Spec.,267483
76,Debra Livesey,Tax Acct.,409141
77,Richard Moodie,Acct. Clerk,72920
78,Nancy Bush,Fin. Anlst.,70961
79,Thomas Santiago,Assoc.,316119
80,Mary Higdon,Jr. Coord.,488121
81,Janelle Carranza,Bookkeeper,253632
82,Albert Bulson,Workforce Anlst.,259730
83,Brenda Hutchison,Bookkeeper,95423
84,Robert Roberson,Clerk,389553
85,Roger Scott,Talent Mgr. Asst.,208364
86,Robin Commander,Receptionist,219266
87,Mary Herrera,Recpt.,240986
88,Kimberly Byers,Payroll Spec.,341103
89,Raymond Cimini,Tax Prep. Spec.,360005
90,Edmond Mccoy,HRIS Admin.,136811
91,Lorraine Williams,Tax Acct.,293291
92,David Hall,Gen. Asst.,383827
93,Elaine Uresti,Jr. Auditor,377909
94,Donald Meyer,Payroll Acct.,322707
95,Joann Prince,Jr. Fin. Anlst.,156056
96,Trevor Parkhurst,Office Mgr.,95035
97,Thomas Roller,Risk Anlst.,242665
98,Betty Reyes,Int. (Intern),295061
99,Vernon Cook,Credit Anlst.,482468
100,Diana Doward,Comp. Anlst.,97534
101,Nicholas Gotch,AP Spec.,80511
102,Lester Wallace,Office Mgr.,386828
103,Edward Meadows,Admin. Tech.,121151
104,Pedro Hogeland,Comp. Anlst.,201413
105,Mary Elliott,AR Clerk,474997
106,Joseph Grantham,Fin. Assoc.,430380
107,Carlos Johnson,HR Gen.,354925
108,John Castle,Jr. Acct.,119498
109,Leonard Mayer,Jr. Acct.,143763
110,Rocky Roberts,Treasury Anlst.,65196
111,Arthur Day,Receptionist,182074
112,Gabriela Robicheaux,Inv. Anlst. Asst.,444153
113,William Salyer,Tax Acct.,130596
114,Cynthia Sweeney,Billing Spec.,497995
115,Denyse Messer,HR Coord.,474810
116,Stephanie Brown,Gen. Asst.,289193
117,Laura Cavazos,Payroll Acct.,267520
118,Robert Crutchfield,Int. Auditor Asst.,170322
119,Gay Frasier,Tax Prep. Spec.,258925
120,Hattie Bruce,Data Entry Spec.,95250
121,Richard Ainslie,T&D Coord.,346756
122,Anthony Reyes,Bookkeeper,256507
123,David Castaneda,Jr. Fin. Anlst.,345093
124,John Gilligan,Office Coord.,272375
125,Charity Scott,Forensic Acct. Asst.,390176
126,Kristin Collins,Acct. Clerk,431933
127,Floyd Lukowski,Jr. Acct.,476936
128,Maria Hight,Records Clerk,252170
129,Edward Richardson,Mail Clerk,426060
130,Edward Kaiser,Records Clerk,226862
131,Emelina Evans,AR Clerk,335569
132,Lucy Chandler,HRBP Asst.,246124
133,Robert Gross,Comp. Anlst.,264012
134,Harry Nguyen,Jr. Benefits Spec.,214651
135,Kenneth Robinson,HRBP Asst.,459403
136,Robert Holland,Talent Mgr. Asst.,207577
137,Tony Oden,Comp. Anlst.,335873
138,Sammy Fleming,Coord.,274653
139,Beth Torres,Comp. Anlst.,499978
140,Jean Watson,Jr. Benefits Spec.,112530
141,Bonnie Scott,Acct. Clerk,343352
142,Mildred Graven,Payroll Acct.,273003
143,Linda Barry,Fin. Reporting Spec.,397685
144,Mabel Schock,Jr. Recruiter,171530
145,Robert Bush,Jr. Fin. Anlst.,220715
146,Terry Amado,AP Spec.,110446
147,Dante Sanpedro,Receptionist,316856
148,Lesa Wapp,AR Clerk,365756
149,Larry Smith,HR Coord.,207499
150,Andre Smith,Sr. Acct.,435675
151,Pamela Han,Billing Spec.,423865
152,Edward Tran,T&D Coord.,290551
153,Rosie Brown,Payroll Spec.,331735
154,Thelma Swett,Apprentice,90894
155,Ingrid Gambrel,AP Spec.,220556
156,Marjorie Dampier,Data Entry Spec.,230546
157,Jennifer Stoneham,Payroll Acct.,139821
158,Walter Osborne,Data Entry Spec.,372681
159,Darryl Merrill,Jr. Auditor,444917
160,Catherine Vasquez,Trainee,62323
161,David Hooper,Credit Anlst.,205210
162,Debra Czapor,Admin. Tech.,154088
163,Todd Bullard,Billing Spec.,227770
164,Richard Ledbetter,Bookkeeper,268436
165,Pamela Grover,Fin. Anlst.,153567
166,Samuel Toca,Clerk,288433
167,Sheila Sullivan,Inv. Anlst. Asst.,86750
168,Daisy Moran,Inv. Anlst. Asst.,312876
169,Jeffrey John,Forensic Acct. Asst.,128063
170,Billie Travis,Recpt.,199428
171,John Sawyer,Proc. Asst.,81296
172,Wendell Nelson,Fin. Anlst.,381160
173,Louanne Reigle,T&D Coord.,339399
174,Mark Edwards,Jr. Acct.,320871
175,Yolanda Hunter,Office Mgr.,382935
176,Shannon Brummer,Sr. Acct.,336109
177,Sofia Stierwalt,Office Coord.,405567
178,Sarah Shelton,Admin. Tech.,340079
179,Sonya David,Payroll Spec.,472519
180,Kim Stanley,Int. Auditor Asst.,135371
181,Paul Hartman,Acct. Asst.,214743
182,Michael Silva,Compliance Anlst.,316730
183,Anthony Kelley,Org. Dev. Asst.,289165
184,Christina Goe,Jr. Assoc.,80757
185,Kandra Cochran,Jr. Fin. Anlst.,266171
186,Kenneth Howard,Jr. Fin. Anlst.,414715
187,Patsy Vance,Office Coord.,53100
188,Quinn Bryant,Compliance Anlst.,416986
189,Tommy Waskin,HR Asst.,82879
190,Howard Smith,Compliance Anlst.,251274
191,Trinidad Grillo,Jr. Auditor,364142
192,Thomas Wiese,Jr. Auditor,265198
193,Terry Washington,Risk Anlst.,336979
194,Tiffany Worth,Support Staff,137790
