EmployeeID,Name,Department,Salary
0,Maria Alberry,T&D Coord.,417556
1,April Flores,Trainee,353323
2,Cheryl Walker,HRIS Admin.,385629
3,Phillip Luckey,Trainee,168958
4,Georgia Lee,Coord.,92510
5,Nancy Wood,Sr. Acct.,399198
6,Angel Gilbert,Jr. Fin. Anlst.,498427
7,Tabatha Souza,Int. Auditor Asst.,361643
8,Bernard Flores,Office Coord.,147035
9,Patricia Madden,Fin. Reporting Spec.,342693
10,Ann Brownlow,Support Staff,83323
11,Daniel Johnson,Fin. Reporting Spec.,71461
12,Columbus Jeffrie,Int. (Intern),373204
13,Margaret Real,Fin. Anlst.,252141
14,Julie Faraone,People Ops Gen.,483641
15,John Heuser,Acct. Asst.,66781
16,Gabriel Lewis,Jr. Fin. Anlst.,480443
17,Susie Keck,Jr. Auditor,293130
18,Charles Manning,Recpt.,423717
19,Meghan Angelo,Mail Clerk,68340
20,Leona Meade,Jr. Benefits Spec.,312040
21,Carlos Fernandes,HR Gen.,173740
22,Eduardo Lavis,Payroll Spec.,437312
23,June Durant,Jr. Recruiter,259442
24,Michael Voelkel,Tax Acct.,472395
25,Tanner Resendiz,Office Mgr.,405762
26,Betty Davis,Admin. Tech.,210674
27,Michelle Bearden,People Ops Gen.,376368
28,Gladys Cushing,Talent Mgr. Asst.,87308
29,Christopher Huerta,HR Coord.,69893
30,Phillip Kavanaugh,HR Cons. Asst.,180423
31,Travis Perkins,Sr. Acct.,471460
32,Francis Hamburg,Bookkeeper,58939
33,Don Helton,Jr. Acct.,423919
34,Imogene Diaz,Tax Prep. Spec.,464098
35,Nathan Johnson,Fin. Anlst.,380436
36,Eric Tacker,Apprentice,198007
37,Ronald Patrick,T&D Coord.,259962
38,Kenneth Crutchfield,Budget Anlst.,71824
39,Chad Hawkins,Inv. Anlst. Asst.,242333
40,Michael Spitler,Fin. Assoc.,396912
41,Eric Rose,Jr. Coord.,409578
42,Jennifer Slaughter,Mail Clerk,459794
43,Marie Nichols,L&D Spec.,434631
44,Natasha Bernardy,Inv. Anlst. Asst.,184997
45,Erik Perry,Proc. Asst.,256879
46,Alesha Antle,Jr. Auditor,166387
47,Bobby Rivera,Asst. (Admin),172369
48,Regina Lopez,Jr. Benefits Spec.,316463
49,Mary Humphrey,Mail Clerk,194829
