EmployeeID,Name,Department,Salary
1,Angel Goldsberry,T&D Coord.,368706
2,Jeannie Marrero,Sr. Acct.,277257
3,Roxanne Broadwater,Jr. Acct.,127910
4,Jennifer Thompson,Compliance Anlst.,396517
5,Dorothy Hoster,Int. (Intern),64482
6,Howard Mench,Asst. (Admin),128760
7,Barry Humes,Tax Acct.,127437
8,Albertine Crawford,Jr. Recruiter,317627
9,Charles Sullivan,Off. Staff,198546
10,Lisa Mack,Tax Prep. Spec.,203082
11,Marvin Hickam,Talent Acq. Spec.,490058
12,Stephen Alcala,Tax Acct.,412271
13,Jamie Lawson,Assoc.,174528
14,Doris Rave,File Clerk,395670
15,James Rodriquez,Office Coord.,387806
16,Tracey Hutchens,Data Entry Spec.,410716
17,Debora Davis,HR Gen.,323736
18,Lucille Jiles,Sr. Acct.,405951
19,Daryl Orozco,Budget Anlst.,379642
20,Delores Robles,Mail Clerk,152534
21,Robert Doerr,Recpt.,340351
22,Susan Miller,Org. Dev. Asst.,112610
23,Ivan Gibeau,Int. (Intern),98141
24,Donald Batiz,Receptionist,225562
25,Matthew Duff,Support Staff,88543
26,Juanita Rose,HR Gen.,484343
27,Robert Rocco,Assoc.,268796
28,Mary Somerville,Talent Mgr. Asst.,109871
29,Joann Garner,Gen. Asst.,138175
30,Shirley Haygood,Acct. Clerk,459411
31,Bobbie Barnes,File Clerk,274211
32,Matthew Hill,AP Spec.,197865
33,Robert Williams,Recruiter,240353
34,Carol Lewis,Jr. Compliance Off.,165980
35,Austin Staton,HRIS Admin.,66483
36,Amy Hux,T&D Coord.,449125
37,Terry Uccio,HR Coord.,494539
38,Ben Barnett,Fin. Assoc.,104980
39,David Wilson,Talent Acq. Spec.,120428
40,Debra Underwood,Sr. Acct.,151916
41,Kevin Harris,Clerk,377927
42,Terry Justice,AR Clerk,342615
43,Larry Evans,Tax Acct.,113311
44,Joseph Rose,Office Mgr.,252538
45,Cheryl Murray,Acct. Clerk,60071
46,Karen Sims,Int. Auditor Asst.,350468
47,Pauline Allen,Recruiter,476882
48,Christina Hannan,Receptionist,116057
49,Leif Guenther,Talent Mgr. Asst.,286452
50,Joanne Knudsen,Org. Dev. Asst.,445214
51,Keith Senff,Records Clerk,277362
52,Chris Hamilton,HR Asst.,283965
53,Velma Fagan,Records Clerk,389506
54,David Kook,HRBP Asst.,280523
55,Loretta Shepard,Recruiter,489929
56,Marion Chandler,Compliance Anlst.,342085
57,Donald Jackson,Receptionist,90978
58,Barbara Aldana,Bookkeeper,355930
59,Laurie Weilbacher,Clerk,317697
60,Willie Lewis,Office Coord.,308567
61,Jennifer Barras,Compliance Anlst.,52202
62,Caitlin Cottrell,Support Staff,350646
63,Hector Myles,Office Mgr.,238382
