EmployeeID,Name,Department,Salary
1,Theodore Baggett,Recpt.,489933
2,Kimberly Sapienza,AR Clerk,230951
3,Michael Travelstead,Jr. Recruiter,271820
4,Constance Swenson,Assoc.,372320
5,Paul Black,Talent Acq. Spec.,108508
6,Edward Lewis,Jr. Auditor,421122
7,Bobby Heilman,Sr. Acct.,184066
8,Latonya Lowery,Office Coord.,298935
9,Willie Blackmore,Data Entry Spec.,198640
10,Matthew Tongate,Apprentice,310748
11,Louise Swavely,File Clerk,461513
12,Rachel Pasquino,Billing Spec.,121950
13,Jennifer Ray,Bookkeeper,469953
14,David Golden,Coord.,206748
15,Mary Shah,Jr. Fin. Anlst.,476237
16,Robin Bird,Bookkeeper,306022
17,Cathy Banks,Fin. Reporting Spec.,93624
18,Laura Joyce,Off. Staff,190990
19,Celia Oshima,Payroll Spec.,410201
20,Herbert Ramos,Acct. Asst.,275276
21,Peggy Francis,Office Mgr.,55251
22,Ola Larose,Fin. Assoc.,362307
23,Nakia Harper,Records Clerk,362535
24,Esther Vazquez,Gen. Asst.,318067
25,Roscoe Moore,Jr. Fin. Anlst.,251204
26,Barbara Shisler,HRIS Admin.,338709
27,Margret Ewing,AP Spec.,421410
28,Richard Shapiro,Office Mgr.,130667
29,Angie Botkins,Jr. Compliance Off.,277385
30,Cynthia Lindsay,Bookkeeper,220436
31,Ricky Cote,Receptionist,103336
32,Margery Reynalds,Tax Acct.,376693
33,Dennis Yamamoto,Budget Anlst.,243432
34,Clarence Bridges,Jr. Assoc.,365722
35,Lillian Becker,Mail Clerk,391938
36,Marti Erling,Risk Anlst.,410539
37,Robert Lewter,Fin. Reporting Spec.,401951
38,John Mcgarvey,Office Coord.,343329
39,Jacqueline Tucker,Trainee,404525
40,George Anyan,Recruiter,492668
41,Matthew Castillo,Apprentice,347395
42,Beth Scott,Payroll Acct.,499962
43,Theresa Redford,Jr. Benefits Spec.,358067
44,Wilbur Williams,Org. Dev. Asst.,497577
45,Nicholas Hector,Comp. Anlst.,117533
46,Agnes Peralta,Data Entry Spec.,149610
47,Andrew Crosson,Sr. Acct.,90669
48,Steve Munoz,Office Mgr.,66890
49,John Wangberg,Comp. Anlst.,453241
50,Luz Mckenzie,Treasury Anlst.,433698
51,Cody Thomas,Credit Anlst.,453462
52,Calvin Phillips,Talent Mgr. Asst.,273516
53,Mary Davis,Receptionist,219482
54,Beth Warren,Forensic Acct. Asst.,225777
55,Erica Rauch,Workforce Anlst.,64526
56,Vincent Nichols,HR Coord.,87201
57,Celeste Sherrell,Billing Spec.,272748
58,Linda Riddle,Trainee,126958
59,Michael Floyd,Data Entry Spec.,205236
60,Robert Stukel,Treasury Anlst.,393537
61,Leila Ballard,Payroll Spec.,86169
62,William Parvin,AR Clerk,297646
63,Todd Hedtke,Risk Anlst.,273766
64,Joan Way,HR Asst.,210617
65,William Gathers,Receptionist,449637
66,Kenneth Brown,Int. Auditor Asst.,82014
67,Franklin Williams,Fin. Assoc.,209235
