EmployeeID,Name,Department,Salary
0,Sharon Johnson,Proc. Asst.,56896
1,Shelton Morgan,Bookkeeper,127925
2,Alton Kukauskas,Jr. Fin. Anlst.,185654
3,Elizabeth Maurer,Org. Dev. Asst.,197720
4,Robert Short,Inv. Anlst. Asst.,239364
5,Roger Newnam,T&D Coord.,265879
6,Larry Ortiz,Jr. Fin. Anlst.,404842
7,James Moise,Bookkeeper,204051
8,Harold Ferenz,Jr. Compliance Off.,302149
9,Mario Brindley,Forensic Acct. Asst.,343651
10,Sharon Lackey,Inv. Anlst. Asst.,456236
11,Robert Adams,HR Coord.,496642
12,Robert Baez,Gen. Asst.,341434
13,Evangelina Williams,Trainee,490200
14,Chris Thompson,Office Mgr.,354808
15,Bobbie Morales,Coord.,441228
16,Pearlie Perkins,HR Asst.,57539
17,Catherine Hirkaler,T&D Coord.,306327
18,Jeffrey Chi,Support Staff,277974
19,Ruth Dillard,Assoc.,367062
20,Troy Rodenberger,Sr. Acct.,226814
21,Marlene Walton,Payroll Spec.,346972
22,Cynthia Dickens,Apprentice,99275
23,Luisa Decker,Fin. Anlst.,408916
24,Maria Webb,T&D Coord.,130186
25,Jesse Mcfall,Int. Auditor Asst.,328564
26,Anthony Hodge,Off. Staff,270922
27,Jeffry Green,Clerk,97443
28,Preston Blair,Clerk,490305
29,Gregory Hayden,Tax Acct.,216478
30,Katina West,Inv. Anlst. Asst.,428513
31,Steven Rocha,Mail Clerk,228373
32,Shane Marsh,Office Coord.,66860
33,Edward Doss,Treasury Anlst.,457979
34,Joaquin Chow,HRIS Admin.,282272
35,Terry Johnson,Compliance Anlst.,329212
36,Keith Burkins,Acct. Clerk,172818
37,Victor Willis,Apprentice,454228
38,Larry Pikes,Talent Acq. Spec.,196711
39,Brandon Bradford,Jr. Auditor,399054
40,Kesha Renfrew,Jr. Benefits Spec.,421678
41,Jacob Taylor,Payroll Acct.,94496
42,Robert King,Off. Staff,452947
43,Billy Mathis,Asst. (Admin),117247
44,George Phelps,Admin. Tech.,399437
45,Dawn Rico,Risk Anlst.,202302
46,Michelle Berry,Compliance Anlst.,186750
47,Carol Gonzalez,Jr. Benefits Spec.,419625
48,Matthew Travis,Coord.,274434
49,Joe Smothers,Fin. Anlst.,283800
50,Cory Durall,Treasury Anlst.,458990
51,Opal Mcnichols,T&D Coord.,67793
52,Harold Young,Risk Anlst.,106814
53,Renita Brown,Jr. Auditor,201648
54,Thomas Cornelius,Credit Anlst.,148722
55,Rebecca Trotter,Billing Spec.,219529
56,James Sweeney,Jr. Recruiter,223900
57,Louis Johnson,Proc. Asst.,423847
58,Arthur Hogue,Fin. Reporting Spec.,256853
59,Jamie Mckinney,HRBP Asst.,81443
60,Shanda Cuzco,Assoc.,339591
61,Brenda Haddix,Proc. Asst.,246915
62,Travis Carroll,T&D Coord.,175365
63,Margaret Randall,Jr. Auditor,98743
64,Timothy Brown,T&D Coord.,201443
65,Dina Felipe,Jr. Compliance Off.,311835
66,Frederick Hickson,Receptionist,71778
67,Bertha Foster,Talent Acq. Spec.,286889
68,Duane Black,Clerk,218268
69,Marvin Robinson,Billing Spec.,476021
70,Ruth Christinsen,HRBP Asst.,102737
71,Lawrence Kalert,Int. Auditor Asst.,384266
72,Roger Kelley,Forensic Acct. Asst.,480844
73,Clarence Pikula,HRIS Admin.,268327
74,Barry Rodriguez,Jr. Compliance Off.,121619
75,Sarah Kees,HR Gen.,312429
76,Jean Williamson,Records Clerk,181927
77,Justin Cotton,Talent Mgr. Asst.,466215
78,Lori Levine,File Clerk,174362
79,Rose Hollenbach,Risk Anlst.,92669
80,Elvira Farrell,Inv. Anlst. Asst.,342280
81,Charlie Watson,Fin. Assoc.,286261
82,Beverly Taylor,Billing Spec.,466617
83,Margarita Naranjo,Comp. Anlst.,227072
84,Helen Mixon,Mail Clerk,464935
