EmployeeID,Name,Department,Salary
1,Bobbi Brooks,Budget Anlst.,498607
2,Donna Stupka,Jr. Benefits Spec.,167521
3,Colleen Berger,Payroll Spec.,312999
4,Benjamin Parsons,Comp. Anlst.,259048
5,Beverly Brock,Payroll Acct.,147797
6,April Brown,Assoc.,459295
7,Jennifer Mchenry,HR Gen.,284411
8,Barbara Hughes,Fin. Assoc.,327316
9,Anna Rotondo,Assoc.,88892
10,Amy King,Clerk,470937
11,Paula Damour,Payroll Acct.,255531
12,Charles Brunell,Jr. Fin. Anlst.,463054
13,Marguerite Balzer,Treasury Anlst.,301592
14,Robert Stankiewicz,Asst. (Admin),464631
15,George Nath,AR Clerk,391043
16,Ethel Murphy,Assoc.,88949
17,Peggy Lynn,Forensic Acct. Asst.,219624
18,Thomas Sanchez,Jr. Acct.,462124
19,Dina Kelly,Comp. Anlst.,457882
20,Roberto Strange,AP Spec.,462777
21,Carlos Rehfield,Admin. Tech.,128539
22,Lavern Woodward,Credit Anlst.,110170
23,Bruce Knutson,Fin. Reporting Spec.,235875
24,Emma Devoe,Recruiter,135504
25,Scott Perales,Trainee,444968
26,Glen Turner,Fin. Anlst.,481570
27,Karen Shackley,Receptionist,99302
28,Adam Campbell,Jr. Compliance Off.,397733
29,Phyllis Berman,Jr. Acct.,86870
30,Christiana Greaves,Apprentice,180539
31,Francisco Levine,Apprentice,140863
32,Mina Prewitt,Jr. Benefits Spec.,136050
33,Darren Davis,Jr. Compliance Off.,183577
34,Anne Brantley,Risk Anlst.,258880
35,Judy Paterson,HR Asst.,336178
36,Bernice Barry,Payroll Acct.,61164
37,Kim Fowler,Jr. Coord.,492758
38,Richard Daves,Bookkeeper,57899
39,Robert Cahill,Proc. Asst.,248351
40,Pat Wilkins,Jr. Acct.,213340
41,Nadine Stewart,Credit Anlst.,245041
42,Kenneth Brown,Trainee,180159
43,Rachel Clayton,Org. Dev. Asst.,253324
44,Charles Busch,Tax Acct.,64241
45,Laurel Bagwell,Receptionist,491374
46,Claude Watson,Treasury Anlst.,316167
47,Shawn Garcia,Risk Anlst.,407069
48,Teresa Miller,HR Coord.,193670
49,Anita Washington,HR Cons. Asst.,249041
50,Olen Moore,Office Mgr.,186725
51,David Hillegas,Fin. Reporting Spec.,331741
52,Louis Smith,Support Staff,333403
53,Louis Johnson,Jr. Coord.,426284
54,Hyman Ramos,HRIS Admin.,406383
55,Micheal Mielke,HR Gen.,197786
56,Eric Schroeter,Int. (Intern),181544
57,William Poole,T&D Coord.,423260
58,Linda Ali,Off. Staff,434376
59,Victoria Barry,Tax Acct.,481678
60,Robert Brown,Int. (Intern),431581
61,Lawrence Peachey,Forensic Acct. Asst.,205554
62,Francis Webb,Payroll Acct.,462845
63,Gordon Bryant,Coord.,393134
64,Edna Purdy,Fin. Assoc.,164347
65,Amy Patterson,Jr. Coord.,468684
66,William Nugent,Coord.,187612
67,Adam Mitchell,Asst. (Admin),497556
68,Anna Mitchell,Compliance Anlst.,409255
69,Jeannette Sweeney,AR Clerk,287678
70,Sharon Fitzpatrick,People Ops Gen.,168674
71,Nathan Minshall,Trainee,229938
72,Floyd Craig,Mail Clerk,212939
73,Shaun Staker,Treasury Anlst.,149120
74,Herman Yancey,Fin. Reporting Spec.,163676
75,Henrietta Johnson,Recpt.,102316
76,Willis Melendez,Billing Spec.,468134
77,Dudley Kuziel,Jr. Assoc.,265209
78,Elena Crye,Talent Mgr. Asst.,146022
79,Eric Rowles,Jr. Benefits Spec.,347308
80,Lydia Underhill,Clerk,209581
81,Michelle Altman,Sr. Acct.,418978
82,Cynthia Hearne,Credit Anlst.,128494
83,Alexandra Delagarza,Proc. Asst.,168772
84,Paulina Perry,Workforce Anlst.,310893
85,Antoinette Sullivan,Clerk,115551
86,Sandy Augustus,Clerk,216861
87,Carlos Garrison,HR Coord.,177724
88,Francisco Tuggle,Jr. Assoc.,282601
89,Robert Tanner,T&D Coord.,496733
90,James Stiles,HR Coord.,386258
91,Gabriel Harris,Office Coord.,298553
92,Bonnie Dunlap,Recruiter,75090
